SHELF NO.,PRODUCT,MOQ,STOCKTAKE,ORDERED,ITEM,SUPPLIER,CAT. NO.,TYPE,UNITS/CTN,MOQ,MOQ TYPE,R&D or MFG,CRITICALITY,COMMENTS
,ABSORBENT MATS BLUE /UNIT,15,0,Y,,,,,,,,,,
,ABSORBENT MATS YELLOW /UNIT,15,0,,,,,,,,,,,
,ABSORBENT MATS WHITE /PK,2,4,,,,,,,,,,,
,RESERVOIRS 50ML /CTN,0,0,,"RESERVOIR FOR FILLING MULTICHANNEL PIPETTES, 50mL, SLOPED BOTTOM, STERILE, 20X5PK (23050) 100/ctn ",Rowe Scientific,PR0155 ,Consumable,100,2,Cartons,R&D,Critical,
9,F10 /UNIT,2,2,Y,,,,,,,,,,
,LC480 96W PLATES /PK,1,1,,LightCycler 480 Multiwell Plate 96,Roche,4729692001,Consumable,n/a,3,Units,BOTH,Critical,
,LC480 384W PLATES /PK,1,1,,LightCycler 480 Multiwell Plate 384,Roche,4729749001,Consumable,n/a,3,Units,BOTH,Critical,
,LC SEALING FOIL /PK,2,6,,LightCycler 480 Sealing Foil,Roche,4729757001,Consumable,n/a,3,Units,BOTH,Critical,
,MICROAMP OPTICAL ADHESIVE FILM /PK,3,2,Y,,,,,,,,,,
,BIO-RAD SEAL /PK,2,0,Y,"Microseal 'B' PCR Plate Sealing Film, adhesive, optical.  ",Bio-Rad,MSB1001 ,Consumable,n/a,2,Units,BOTH,Critical,
,BRADY LABEL M5-156-492 (SQUARE) /UNIT,10,34,,M-156-492 Brady Labels (Rectangle),Mektronics,BRA170892 ,Consumable,n/a,10,Units,BOTH,Critical,
,BRADY LABEL M5-118-492 (DOT&STRIP) /UNIT,10,0,Y,M-118-492 Brady Labels (Dot & Strip) ,Mektronics,BRA170893,Consumable,n/a,10,Units,BOTH,Critical,
,BRADY LABEL M4-82-492 (WHITE DOT) /UNIT,5,0,Y,,,,,,,,,,
,BRADY LABEL M4-499-YL-BK (YELLOW DOT) /UNIT,5,0,Y,,,,,,,,,,
,MOP HEAD /PK,4,16,,,,,,,,,,,
,BAXTER IRRIGATION WATER 1L /UNIT,2,5,,,,,,,,,,,
,IDT NF WATER 1L /UNIT,5,23,,,,,,,,,,,
,IDT NF WATER 2ML /PK,6,18,,,,,,,,,,,
,KLEENEX COMPACT TOWELS /CTN,1,4,,,,,,,,,,,
,FALCON TUBES 15ML /CTN,1,2,,,,,,,,,,,
,FALCON TUBES 50ML /CTN,1,2,,,,,,,,,,,
,PLASTIC CONTAINER 120ML /UNIT,30,50+,,,,,,,,,,,
,PLASTIC CONTAINER 500ML /UNIT,20,45,,"Surgical Specimen Transparent Containers, Polypropylene, 500ml, 120 x 80mm, Each",Livingstone,A14142 ,Consumable,n/a,20,Units,R&D,Critical,
,PLASTIC CONTAINER 1000ML /UNIT,20,40,,"Surgical Specimen Transparent Containers, Polypropylene, 1000mL, 120 x 115mm",Livingstone,A14143 ,Consumable,n/a,20,Units,R&D,Critical,
10,MP96 WASTE CONTAINER /UNIT,1,3,,,,,,,,,,,
,MP96 PROCESSING CARTRIDGE /CTN,1,1,,,,,,,,,,,
,MP96 OUTPUT PLATE /PK,3,17,,,,,,,,,,,
,MAGNA PURE TIP 1000µL /CTN,1,7,,,,,,,,,,,
,MAGNA PURE IC TUBES /PK,1,3,,,,,,,,,,,
,MAGNA PURE SEALING FOIL /PK,1,1,,,,,,,,,,,
,MP96 SV KIT /UNIT,0,0,,,,,,,,,,,
11,ZIPLOCK BPEZ360X400 /CTN,0,1,,,,,,,,,,,
,ZIPLOCK BPEZ250X300 /CTN,0,1,,,,,,,,,,,
,ZIPLOCK BPEZ150X200 /CTN,2,3,,,,,,,,,,,
,GARBAGE BAG GB80LT /CTN,1,3,,,,,,,,,,,
,YELLOW CLINICAL WASTE BAG /CTN,2,4,,,,,,,,,,,
,BIOHAZARD AUTOCLAVABLE BAG BAGAUT55X70C /CTN,0,1,,,,,,,,,,,
,BIOHAZARD AUTOCLAVABLE BAG BAGAUT30X60C /CTN,0,2,,,,,,,,,,,
,BIOHAZARD AUTOCLAVABLE BAG BAGAUT30X60N /CTN,1,4,,"Livingstone Biohazard Autoclavable Waste Bag, 30 x 60cm, 20 Litres, 50um, Open Diameter: 20cm, Polypropylene, Yellow, 50/Pack 500/Carton",Livingstone,BAGAUT30X60N ,Consumable,500,1,Cartons,BOTH,Critical,
,BIOHAZARD SPECIMEN BAG BHSB23X16 /CTN,1,2,,,,,,,,,,,
12,FOAMING SOAP /CTN,0,4,,,,,,,,,,,
,KIMWIPES /CTN,0,3,,,,,,,,,,,
